        Xacc:-0.06042480	 yacc: 0.22277832	zacc: 4.76196289	 | xgy: -36.89056396	 ygy: -52.71148682	 zgy: 7.70858765
        Xacc:-0.87097168	 yacc: -0.09521484	zacc: 4.70031738	 | xgy: 18.51257324	 ygy: -13.12927246	 zgy: 14.37789917
        Xacc:-0.62133789	 yacc: 0.14160156	zacc: 4.85351562	 | xgy: 6.15341187	 ygy: -5.88424683	 zgy: 1.50283813
        Xacc:-0.70007324	 yacc: 0.42663574	zacc: 4.85412598	 | xgy: 2.55706787	 ygy: -1.55517578	 zgy: 0.40374756
        Xacc:-0.95153809	 yacc: 0.44311523	zacc: 4.87060547	 | xgy: 1.75704956	 ygy: -1.66732788	 zgy: -2.92343140
        Xacc:-0.80627441	 yacc: 0.47180176	zacc: 4.78454590	 | xgy: -0.18692017	 ygy: -4.38888550	 zgy: -5.73471069
        Xacc:-0.75561523	 yacc: 0.39916992	zacc: 4.78210449	 | xgy: -3.97766113	 ygy: -4.26177979	 zgy: 0.56823730
        Xacc:-0.99670410	 yacc: 0.48095703	zacc: 4.85412598	 | xgy: -4.88983154	 ygy: -5.81695557	 zgy: 2.69165039
        Xacc:-0.75866699	 yacc: 0.43945312	zacc: 4.78393555	 | xgy: -5.03936768	 ygy: -3.79074097	 zgy: 2.43743896
        Xacc:-0.73425293	 yacc: 0.41870117	zacc: 4.80895996	 | xgy: -1.25610352	 ygy: 0.75515747	 zgy: 0.82992554
        Xacc:-0.72021484	 yacc: 0.39855957	zacc: 4.77111816	 | xgy: -1.84677124	 ygy: 0.94955444	 zgy: 1.11404419
        Xacc:-0.74340820	 yacc: 0.41992188	zacc: 4.77050781	 | xgy: -1.34582520	 ygy: 0.71777344	 zgy: 2.14584351
        Xacc:-0.71960449	 yacc: 0.39855957	zacc: 4.80712891	 | xgy: -1.18881226	 ygy: 0.38879395	 zgy: 1.72714233
        Xacc:-0.95642090	 yacc: 0.15380859	zacc: 3.61572266	 | xgy: 3.97766113	 ygy: -1.23367310	 zgy: 5.18890381
        Xacc:-0.67993164	 yacc: 0.52551270	zacc: 4.79431152	 | xgy: 0.04486084	 ygy: 1.70471191	 zgy: 0.50094604
        Xacc:-0.70129395	 yacc: 0.47424316	zacc: 4.78027344	 | xgy: -0.59814453	 ygy: 1.00189209	 zgy: 0.15701294
        Xacc:-0.70983887	 yacc: 0.53405762	zacc: 4.83032227	 | xgy: -0.68786621	 ygy: 1.52526855	 zgy: 1.31591797
        Xacc:-0.70190430	 yacc: 0.51391602	zacc: 4.78820801	 | xgy: -1.17385864	 ygy: 0.80001831	 zgy: 0.89721680
        Xacc:-0.71411133	 yacc: 0.51391602	zacc: 4.82238770	 | xgy: -0.91964722	 ygy: 0.53085327	 zgy: 1.15142822
        Xacc:-0.71777344	 yacc: 0.51330566	zacc: 4.80407715	 | xgy: -0.79254150	 ygy: 0.94207764	 zgy: 1.17385864
        Xacc:-0.70251465	 yacc: 0.52062988	zacc: 4.79248047	 | xgy: -1.00189209	 ygy: 0.41870117	 zgy: 1.30844116
        Xacc:-0.72387695	 yacc: 0.51452637	zacc: 4.84069824	 | xgy: -0.92712402	 ygy: 0.87478638	 zgy: 1.38320923
        Xacc:-0.69152832	 yacc: 0.48522949	zacc: 4.82421875	 | xgy: -2.35519409	 ygy: -9.45068359	 zgy: 1.03179932
        Xacc:-0.65307617	 yacc: 0.45227051	zacc: 4.83947754	 | xgy: 0.52337646	 ygy: -14.52743530	 zgy: -3.69354248
        Xacc:-0.61889648	 yacc: 0.43518066	zacc: 4.82910156	 | xgy: 4.04495239	 ygy: -22.81173706	 zgy: -8.00018311
        Xacc:-0.49743652	 yacc: 0.47241211	zacc: 4.84497070	 | xgy: 3.58886719	 ygy: -23.24539185	 zgy: -2.14584351
        Xacc:-0.46630859	 yacc: 0.50109863	zacc: 4.79614258	 | xgy: 4.45617676	 ygy: -28.84552002	 zgy: -10.23574829
        Xacc:-0.13305664	 yacc: 0.56640625	zacc: 4.78759766	 | xgy: 1.69723511	 ygy: -39.23080444	 zgy: -18.02658081
        Xacc:-0.47485352	 yacc: 0.64392090	zacc: 4.71191406	 | xgy: -7.17025757	 ygy: -4.95712280	 zgy: -5.13656616
        Xacc:-0.41809082	 yacc: 0.51269531	zacc: 4.95361328	 | xgy: 0.49346924	 ygy: 2.15332031	 zgy: -0.06729126
        Xacc:-0.40283203	 yacc: 0.43884277	zacc: 4.85839844	 | xgy: -0.74768066	 ygy: 0.88973999	 zgy: -2.22061157
        Xacc:-0.39489746	 yacc: 0.52001953	zacc: 4.72839355	 | xgy: -0.89721680	 ygy: 0.80001831	 zgy: -5.14404297
        Xacc:-0.41564941	 yacc: 0.62133789	zacc: 4.80773926	 | xgy: -0.79254150	 ygy: 0.94955444	 zgy: -4.08981323
        Xacc:-0.39733887	 yacc: 0.55358887	zacc: 4.82116699	 | xgy: -0.55328369	 ygy: 1.32339478	 zgy: -0.39627075
        Xacc:-0.39428711	 yacc: 0.51940918	zacc: 4.75646973	 | xgy: -0.35888672	 ygy: 1.39816284	 zgy: 1.31591797
        Xacc:-0.37658691	 yacc: 0.52368164	zacc: 4.77050781	 | xgy: -0.50842285	 ygy: 1.43554688	 zgy: 0.94207764
        Xacc:-0.37719727	 yacc: 0.52490234	zacc: 4.80712891	 | xgy: -0.64300537	 ygy: 1.27853394	 zgy: 1.00189209
        Xacc:-0.37353516	 yacc: 0.51391602	zacc: 4.80224609	 | xgy: -0.48599243	 ygy: 1.36077881	 zgy: 1.00936890
        Xacc:-0.38085938	 yacc: 0.51147461	zacc: 4.77722168	 | xgy: -0.17196655	 ygy: 1.12152100	 zgy: 0.80749512
        Xacc:-0.37719727	 yacc: 0.51269531	zacc: 4.79858398	 | xgy: -0.59066772	 ygy: 0.94955444	 zgy: 0.81497192
        Xacc:-0.38574219	 yacc: 0.52246094	zacc: 4.80224609	 | xgy: -0.61309814	 ygy: 1.36077881	 zgy: 1.08413696
        Xacc:-0.37048340	 yacc: 0.51452637	zacc: 4.74609375	 | xgy: -0.44860840	 ygy: 1.24114990	 zgy: 1.02432251
        Xacc:-0.39550781	 yacc: 0.51696777	zacc: 4.78393555	 | xgy: -0.30654907	 ygy: 1.42807007	 zgy: 0.82244873
        Xacc:-0.37536621	 yacc: 0.52368164	zacc: 4.77478027	 | xgy: -0.53833008	 ygy: 1.37573242	 zgy: 1.21124268
        Xacc:-0.40954590	 yacc: 0.51635742	zacc: 4.78820801	 | xgy: -0.41870117	 ygy: 1.35330200	 zgy: 1.14395142
        Xacc:-0.37414551	 yacc: 0.52246094	zacc: 4.79370117	 | xgy: -0.47103882	 ygy: 1.35330200	 zgy: 0.88226318
        Xacc:-0.38940430	 yacc: 0.51940918	zacc: 4.78820801	 | xgy: -0.26916504	 ygy: 1.44302368	 zgy: 0.97198486
        Xacc:-0.36987305	 yacc: 0.50781250	zacc: 4.82727051	 | xgy: -0.71777344	 ygy: 1.27105713	 zgy: 1.27853394
        Xacc:-0.40405273	 yacc: 0.52612305	zacc: 4.77478027	 | xgy: -0.31402588	 ygy: 1.36077881	 zgy: 0.96450806
        Xacc:-0.37353516	 yacc: 0.51757812	zacc: 4.76318359	 | xgy: -0.32897949	 ygy: 1.27105713	 zgy: 1.04675293
        Xacc:-0.37963867	 yacc: 0.51025391	zacc: 4.76928711	 | xgy: -0.44113159	 ygy: 1.38320923	 zgy: 1.11404419
        Xacc:-0.39855957	 yacc: 0.51696777	zacc: 4.75280762	 | xgy: -0.62805176	 ygy: 1.31591797	 zgy: 1.04675293
        Xacc:-0.38757324	 yacc: 0.51330566	zacc: 4.77539062	 | xgy: -0.57571411	 ygy: 1.36825562	 zgy: 0.91964722
        Xacc:-0.37597656	 yacc: 0.53833008	zacc: 4.77355957	 | xgy: -0.32897949	 ygy: 1.01684570	 zgy: 1.17385864
        Xacc:-0.39123535	 yacc: 0.52001953	zacc: 4.79675293	 | xgy: -0.12710571	 ygy: 1.39068604	 zgy: 1.00189209
        Xacc:-0.39428711	 yacc: 0.51391602	zacc: 4.78942871	 | xgy: -0.13458252	 ygy: 1.35330200	 zgy: 1.12899780
        Xacc:-0.38757324	 yacc: 0.51818848	zacc: 4.82238770	 | xgy: -0.42617798	 ygy: 1.24862671	 zgy: 0.85983276
        
