        Xacc:-1.30371094	 yacc: 0.45166016	zacc: 4.84375000	 | xgy: -15.34240723	 ygy: -9.83200073	 zgy: -1.21124268
        Xacc:-0.73730469	 yacc: 0.41992188	zacc: 4.82055664	 | xgy: -23.64913940	 ygy: -9.51049805	 zgy: 0.99441528
        Xacc:-1.02355957	 yacc: 0.48706055	zacc: 4.79492188	 | xgy: -15.97793579	 ygy: -8.02261353	 zgy: 1.32339478
        Xacc:-1.01013184	 yacc: 0.29541016	zacc: 4.86022949	 | xgy: 0.20935059	 ygy: -18.87893677	 zgy: 7.34970093
        Xacc:-0.75439453	 yacc: 0.53588867	zacc: 5.08300781	 | xgy: 38.43078613	 ygy: -49.49645996	 zgy: 4.09729004
        Xacc:-0.53771973	 yacc: 0.63171387	zacc: 5.80017090	 | xgy: 35.52230835	 ygy: -21.84722900	 zgy: 17.93685913
        Xacc:-0.72448730	 yacc: 0.60729980	zacc: 4.88647461	 | xgy: -10.90866089	 ygy: -1.80191040	 zgy: 1.66732788
        Xacc:-0.50903320	 yacc: 0.37170410	zacc: 4.71435547	 | xgy: -3.33465576	 ygy: -15.01342773	 zgy: -8.01513672
        Xacc:-0.70922852	 yacc: 0.48522949	zacc: 4.82177734	 | xgy: -0.34393311	 ygy: -3.99261475	 zgy: -17.85461426
        Xacc:-0.73547363	 yacc: 0.46630859	zacc: 4.84741211	 | xgy: 1.42807007	 ygy: -8.05252075	 zgy: -11.77597046
        Xacc:-0.64208984	 yacc: 0.44799805	zacc: 4.78759766	 | xgy: 0.86730957	 ygy: -6.83380127	 zgy: -4.02252197
        Xacc:-0.46142578	 yacc: 0.28991699	zacc: 4.95178223	 | xgy: -0.76263428	 ygy: -8.75534058	 zgy: -2.54959106
        Xacc:-0.37231445	 yacc: 0.36437988	zacc: 5.08117676	 | xgy: 0.72525024	 ygy: -43.54492188	 zgy: 7.81326294
        Xacc:-0.62072754	 yacc: 0.56701660	zacc: 3.63525391	 | xgy: -1.30844116	 ygy: -65.12298584	 zgy: 8.85253906
        Xacc:-0.35339355	 yacc: 0.59082031	zacc: 3.97094727	 | xgy: 2.59445190	 ygy: 3.76083374	 zgy: -0.89721680
        Xacc:-0.23803711	 yacc: 0.39184570	zacc: 4.43176270	 | xgy: 0.60562134	 ygy: 2.02621460	 zgy: 1.03179932
        Xacc:-0.39672852	 yacc: 0.46447754	zacc: 4.78942871	 | xgy: 0.01495361	 ygy: 1.58508301	 zgy: 1.34582520
        Xacc:-0.37780762	 yacc: 0.45654297	zacc: 4.72717285	 | xgy: -0.32150269	 ygy: 1.21124268	 zgy: 1.02432251
        Xacc:-0.39916992	 yacc: 0.45715332	zacc: 4.77905273	 | xgy: -0.48599243	 ygy: 1.13647461	 zgy: 1.11404419
        Xacc:-0.38208008	 yacc: 0.46203613	zacc: 4.77722168	 | xgy: -0.65795898	 ygy: 1.12152100	 zgy: 1.03179932
        Xacc:-0.39550781	 yacc: 0.46081543	zacc: 4.79248047	 | xgy: -0.65048218	 ygy: 1.42059326	 zgy: 1.21124268
        Xacc:-0.40710449	 yacc: 0.46264648	zacc: 4.78210449	 | xgy: -0.30654907	 ygy: 1.57012939	 zgy: 1.09909058
        Xacc:-0.39794922	 yacc: 0.46813965	zacc: 4.77539062	 | xgy: -0.35140991	 ygy: 1.65237427	 zgy: 1.06918335
        Xacc:-0.40161133	 yacc: 0.46691895	zacc: 4.74731445	 | xgy: -0.55328369	 ygy: 1.31591797	 zgy: 1.30096436
        Xacc:-0.40344238	 yacc: 0.46203613	zacc: 4.76867676	 | xgy: -0.49346924	 ygy: 1.39068604	 zgy: 0.97198486
        Xacc:-0.42114258	 yacc: 0.46386719	zacc: 4.78820801	 | xgy: -0.68038940	 ygy: 1.43554688	 zgy: 1.22619629
        Xacc:-0.38330078	 yacc: 0.45959473	zacc: 4.85107422	 | xgy: -0.63552856	 ygy: 1.10656738	 zgy: 1.00189209
        Xacc:-0.39001465	 yacc: 0.46936035	zacc: 4.77722168	 | xgy: -0.74768066	 ygy: 1.03927612	 zgy: 1.01684570
        Xacc:-0.40954590	 yacc: 0.46264648	zacc: 4.77416992	 | xgy: -0.16448975	 ygy: 1.32339478	 zgy: 0.97198486
        Xacc:-0.41198730	 yacc: 0.46081543	zacc: 4.74853516	 | xgy: -0.59066772	 ygy: 1.55517578	 zgy: 1.12899780
        Xacc:-0.39794922	 yacc: 0.46813965	zacc: 4.76989746	 | xgy: -0.58319092	 ygy: 1.15890503	 zgy: 1.02432251
        Xacc:-0.38452148	 yacc: 0.46569824	zacc: 4.78332520	 | xgy: -0.39627075	 ygy: 1.00936890	 zgy: 1.14395142
        Xacc:-0.38940430	 yacc: 0.45715332	zacc: 4.79614258	 | xgy: -0.50094604	 ygy: 1.36077881	 zgy: 0.79254150
        Xacc:-0.38391113	 yacc: 0.47424316	zacc: 4.82543945	 | xgy: -0.38131714	 ygy: 1.23367310	 zgy: 0.85235596
        Xacc:-0.37048340	 yacc: 0.47485352	zacc: 4.80590820	 | xgy: -0.78506470	 ygy: 1.33834839	 zgy: 1.00936890
        Xacc:-0.40893555	 yacc: 0.45898438	zacc: 4.79370117	 | xgy: -0.60562134	 ygy: 1.26358032	 zgy: 1.27853394
        Xacc:-0.41015625	 yacc: 0.46447754	zacc: 4.80529785	 | xgy: -0.67291260	 ygy: 1.33087158	 zgy: 1.28601074
        Xacc:-0.39306641	 yacc: 0.46752930	zacc: 4.80834961	 | xgy: -0.45608521	 ygy: 1.45797729	 zgy: 1.31591797
        Xacc:-0.41442871	 yacc: 0.46203613	zacc: 4.73571777	 | xgy: -0.59814453	 ygy: 1.53274536	 zgy: 1.15142822
        Xacc:-0.41503906	 yacc: 0.46630859	zacc: 4.79858398	 | xgy: -0.59814453	 ygy: 1.18133545	 zgy: 1.03927612
        Xacc:-0.40466309	 yacc: 0.46264648	zacc: 4.80529785	 | xgy: -0.50094604	 ygy: 1.09909058	 zgy: 1.05422974
        Xacc:-0.40588379	 yacc: 0.47180176	zacc: 4.77722168	 | xgy: -0.08972168	 ygy: 1.11404419	 zgy: 0.81497192
        Xacc:-0.39367676	 yacc: 0.45776367	zacc: 4.78271484	 | xgy: -0.44113159	 ygy: 1.25610352	 zgy: 1.03179932
        Xacc:-0.39123535	 yacc: 0.46081543	zacc: 4.80834961	 | xgy: -0.35888672	 ygy: 1.45050049	 zgy: 0.91964722
        Xacc:-0.41076660	 yacc: 0.46081543	zacc: 4.79492188	 | xgy: -0.38131714	 ygy: 1.39068604	 zgy: 1.30844116
        Xacc:-0.39184570	 yacc: 0.46447754	zacc: 4.80102539	 | xgy: -0.74020386	 ygy: 1.08413696	 zgy: 1.03179932
        Xacc:-0.41320801	 yacc: 0.46630859	zacc: 4.77478027	 | xgy: -0.68038940	 ygy: 1.11404419	 zgy: 0.80749512
        Xacc:-0.38818359	 yacc: 0.47363281	zacc: 4.76440430	 | xgy: -0.62805176	 ygy: 0.89721680	 zgy: 0.89721680
        Xacc:-0.40466309	 yacc: 0.45837402	zacc: 4.79614258	 | xgy: -0.53833008	 ygy: 1.35330200	 zgy: 1.04675293
        Xacc:-0.41198730	 yacc: 0.46142578	zacc: 4.75585938	 | xgy: -0.82244873	 ygy: 1.34582520	 zgy: 0.88226318
        Xacc:-0.39245605	 yacc: 0.45349121	zacc: 4.79919434	 | xgy: -0.77011108	 ygy: 1.24862671	 zgy: 1.00936890
        Xacc:-0.40222168	 yacc: 0.46936035	zacc: 4.75891113	 | xgy: -0.45608521	 ygy: 1.26358032	 zgy: 1.16638184
        Xacc:-0.38757324	 yacc: 0.46081543	zacc: 4.77905273	 | xgy: -0.40374756	 ygy: 1.21124268	 zgy: 1.13647461
        Xacc:-0.38391113	 yacc: 0.46813965	zacc: 4.79187012	 | xgy: -0.50842285	 ygy: 1.09909058	 zgy: 0.88226318
        Xacc:-0.39489746	 yacc: 0.45776367	zacc: 4.78210449	 | xgy: -0.34393311	 ygy: 1.03179932	 zgy: 1.04675293
        Xacc:-0.40039062	 yacc: 0.46264648	zacc: 4.77600098	 | xgy: -0.17944336	 ygy: 1.04675293	 zgy: 1.03179932
        Xacc:-0.39978027	 yacc: 0.46447754	zacc: 4.77111816	 | xgy: -0.59066772	 ygy: 1.36825562	 zgy: 0.89721680
        
