Xacc:-0.97106934	 yacc: 0.17028809	zacc: 4.66735840	 | xgy: -1.79443359	 ygy: 2.67669678	 zgy: 0.64300537
        Xacc:-0.95275879	 yacc: 0.01586914	zacc: 4.75830078	 | xgy: -1.68975830	 ygy: 3.28231812	 zgy: 2.26547241
        Xacc:-0.99914551	 yacc: -0.07202148	zacc: 4.85351562	 | xgy: 0.59066772	 ygy: 2.22808838	 zgy: 3.39447021
        Xacc:-1.02905273	 yacc: -0.19226074	zacc: 4.76684570	 | xgy: 1.80191040	 ygy: 0.89721680	 zgy: 2.01126099
        Xacc:-1.02905273	 yacc: -0.04882812	zacc: 4.80712891	 | xgy: -2.01873779	 ygy: 3.77578735	 zgy: -1.93649292
        Xacc:-1.00646973	 yacc: 0.07080078	zacc: 5.02685547	 | xgy: -1.93649292	 ygy: 1.99630737	 zgy: -1.84677124
        Xacc:-1.07604980	 yacc: -0.01403809	zacc: 4.78759766	 | xgy: 3.04306030	 ygy: -0.74020386	 zgy: 0.09719849
        Xacc:-1.07666016	 yacc: 0.01037598	zacc: 4.76684570	 | xgy: -4.06738281	 ygy: 1.72714233	 zgy: -1.24862671
        Xacc:-1.05346680	 yacc: -0.02990723	zacc: 4.93225098	 | xgy: -2.70660400	 ygy: 1.59255981	 zgy: -0.97198486
        Xacc:-1.05102539	 yacc: -0.04638672	zacc: 4.89624023	 | xgy: 0.34393311	 ygy: 0.09719849	 zgy: -1.08413696
        Xacc:-1.06506348	 yacc: 0.07446289	zacc: 4.76074219	 | xgy: -1.26358032	 ygy: -0.08224487	 zgy: -1.12152100
        Xacc:-1.05957031	 yacc: 0.06103516	zacc: 4.82666016	 | xgy: -1.38320923	 ygy: 0.48599243	 zgy: -0.05981445
        Xacc:-1.02050781	 yacc: -0.00976562	zacc: 4.80773926	 | xgy: -0.12710571	 ygy: -0.93460083	 zgy: 1.24862671
        Xacc:-1.02905273	 yacc: -0.07019043	zacc: 4.70520020	 | xgy: -1.27105713	 ygy: 0.00000000	 zgy: 1.17385864
        Xacc:-1.04187012	 yacc: -0.01770020	zacc: 4.66674805	 | xgy: -1.56265259	 ygy: 1.01684570	 zgy: -0.82244873
        Xacc:-1.02111816	 yacc: 0.01342773	zacc: 4.73388672	 | xgy: -4.23934937	 ygy: 2.68417358	 zgy: -1.25610352
        Xacc:-1.01867676	 yacc: -0.10498047	zacc: 4.83642578	 | xgy: -1.14395142	 ygy: 1.71218872	 zgy: 0.50842285
        Xacc:-1.05712891	 yacc: -0.03967285	zacc: 4.75036621	 | xgy: -0.72525024	 ygy: 0.89721680	 zgy: -0.42617798
        Xacc:-0.97961426	 yacc: 0.06408691	zacc: 4.72961426	 | xgy: -2.40753174	 ygy: 1.38320923	 zgy: -1.70471191
        Xacc:-0.99487305	 yacc: -0.02319336	zacc: 4.78088379	 | xgy: 1.12899780	 ygy: 1.20376587	 zgy: -0.20187378
        Xacc:-1.00524902	 yacc: 0.00488281	zacc: 4.76989746	 | xgy: -2.34024048	 ygy: 1.80191040	 zgy: -1.12152100
        Xacc:-1.03271484	 yacc: 0.10314941	zacc: 4.73693848	 | xgy: -5.03936768	 ygy: 2.44491577	 zgy: -0.93460083
