Xacc,Yacc,Zacc
0.141729,0.157632,-0.073569
0.141729,0.157632,-0.073569
0.141729,0.157632,-0.073569
0.141729,0.157632,-0.073569
0.141729,0.157632,-0.073569
0.141729,0.157632,-0.146934
0.151982,0.146035,-0.146934
0.151982,0.146035,-0.146934
0.151982,0.146035,-0.146934
0.151982,0.146035,-0.146934
0.151982,0.146035,-0.146934
0.151982,0.146035,-0.146934
0.151982,0.146035,-0.146934
0.151982,0.146035,-0.146934
0.151982,0.146035,-0.146934
0.151982,0.146035,-0.053184
0.150273,0.116738,-0.069907
0.150273,0.116738,-0.069907
0.150273,0.116738,-0.069907
0.150273,0.116738,-0.069907
0.150273,0.116738,-0.069907
0.150273,0.116738,-0.069907
0.150273,0.116738,-0.069907
0.150273,0.116738,-0.069907
0.150273,0.116738,-0.069907
0.150273,0.116738,-0.069907
0.150273,0.116738,-0.069907
0.150273,0.116738,-0.069907
0.150273,0.116738,-0.069907
0.150273,0.116738,-0.069907
0.150273,0.116738,-0.069907
0.150273,0.116738,-0.069907
0.150273,0.120278,-0.060264
0.148809,0.120278,-0.060264
0.148809,0.120278,-0.060264
0.148809,0.120278,-0.060264
0.148809,0.120278,-0.060264
0.148809,0.120278,-0.060264
0.148809,0.120278,-0.060264
0.148809,0.120278,-0.060264
0.148809,0.120278,-0.060264
0.148809,0.120278,-0.060264
0.148809,0.120278,-0.060264
0.148809,0.120278,-0.060264
0.148809,0.120278,-0.060264
0.148809,0.120278,-0.060264
0.148809,0.120278,-0.060264
0.148809,0.120278,-0.060264
0.148809,0.120278,-0.060264
0.148809,0.132729,0.000161
0.124517,0.132729,0.000161
0.124517,0.132729,0.000161
0.124517,0.132729,0.000161
0.124517,0.132729,0.000161
0.124517,0.132729,0.000161
0.124517,0.132729,0.000161
0.124517,0.132729,0.000161
0.124517,0.132729,0.000161
0.124517,0.132729,0.000161
0.124517,0.132729,0.000161
0.124517,0.132729,0.000161
0.124517,0.132729,0.000161
0.124517,0.132729,0.000161
0.124517,0.132729,0.000161
0.124517,0.132729,0.062661
0.122930,0.116128,0.073037
0.122930,0.116128,0.073037
0.122930,0.116128,0.073037
0.122930,0.116128,0.073037
0.122930,0.116128,0.073037
0.122930,0.116128,0.073037
0.122930,0.116128,0.073037
0.122930,0.116128,0.073037
0.122930,0.116128,0.073037
0.122930,0.116128,0.073037
0.122930,0.116128,0.073037
0.122930,0.116128,0.073037
0.122930,0.116128,0.073037
0.122930,0.116128,0.073037
0.122930,0.116128,0.073037
0.122930,0.116128,0.073037
0.122930,0.116128,0.135537
0.127202,0.098062,0.121133
0.127202,0.098062,0.121133
0.127202,0.098062,0.121133
0.127202,0.098062,0.121133
0.127202,0.098062,0.121133
0.127202,0.098062,0.121133
0.127202,0.098062,0.121133
0.127202,0.098062,0.121133
0.127202,0.098062,0.121133
0.127202,0.098062,0.121133
0.127202,0.098062,0.121133
0.127202,0.098062,0.121133
0.127202,0.098062,0.121133
0.127202,0.098062,0.121133
0.127202,0.098062,0.121133
0.127202,0.098062,0.121133
0.127202,0.098062,0.183633
0.104863,0.103555,0.199380
0.104863,0.103555,0.199380
0.104863,0.103555,0.199380
0.104863,0.103555,0.199380
0.104863,0.103555,0.199380
0.104863,0.103555,0.199380
0.104863,0.103555,0.199380
0.104863,0.103555,0.199380
0.104863,0.103555,0.199380
0.104863,0.103555,0.199380
0.104863,0.103555,0.199380
0.104863,0.103555,0.199380
0.104863,0.103555,0.199380
0.104863,0.103555,0.199380
0.104863,0.103555,0.199380
0.104863,0.103555,0.199380
0.104863,0.103555,0.338906
0.083135,0.088784,0.338906
0.083135,0.088784,0.338906
0.083135,0.088784,0.338906
0.083135,0.088784,0.338906
0.083135,0.088784,0.338906
0.083135,0.088784,0.338906
0.083135,0.088784,0.338906
0.083135,0.088784,0.338906
0.083135,0.088784,0.338906
0.083135,0.088784,0.338906
0.083135,0.088784,0.338906
0.083135,0.088784,0.338906
0.083135,0.088784,0.338906
0.083135,0.088784,0.338906
0.083135,0.088784,0.338906
0.083135,0.088784,0.338906
0.083135,0.026284,0.476235
0.046025,0.046670,0.476235
0.046025,0.046670,0.476235
0.046025,0.046670,0.476235
0.046025,0.046670,0.476235
0.046025,0.046670,0.476235
0.046025,0.046670,0.476235
0.046025,0.046670,0.476235
0.046025,0.046670,0.476235
0.046025,0.046670,0.476235
0.046025,0.046670,0.476235
0.046025,0.046670,0.476235
0.046025,0.046670,0.476235
0.046025,0.046670,0.476235
0.046025,0.046670,0.476235
0.046025,0.046670,0.476235
-0.016475,-0.004844,0.675210
-0.008540,-0.004844,0.675210
-0.008540,-0.004844,0.675210
-0.008540,-0.004844,0.675210
-0.008540,-0.004844,0.675210
-0.008540,-0.004844,0.675210
-0.008540,-0.004844,0.675210
-0.008540,-0.004844,0.675210
-0.008540,-0.004844,0.675210
-0.008540,-0.004844,0.675210
-0.008540,-0.004844,0.675210
-0.008540,-0.004844,0.675210
-0.008540,-0.004844,0.675210
-0.008540,-0.004844,0.675210
-0.008540,-0.004844,0.675210
-0.008540,-0.004844,0.675210
-0.008540,-0.004844,0.862710
-0.040034,-0.021934,0.844521
-0.040034,-0.021934,0.844521
-0.040034,-0.021934,0.844521
-0.040034,-0.021934,0.844521
-0.040034,-0.021934,0.844521
-0.040034,-0.021934,0.844521
-0.040034,-0.021934,0.844521
-0.040034,-0.021934,0.844521
-0.040034,-0.021934,0.844521
-0.040034,-0.021934,0.844521
-0.040034,-0.021934,0.844521
-0.040034,-0.021934,0.844521
-0.040034,-0.021934,0.844521
-0.040034,-0.021934,0.844521
-0.040034,-0.021934,0.844521
-0.040034,-0.021934,0.844521
-0.040034,-0.021934,0.913491
0.015386,-0.053916,0.913491
0.015386,-0.053916,0.913491
0.015386,-0.053916,0.913491
0.015386,-0.053916,0.913491
0.015386,-0.053916,0.913491
0.015386,-0.053916,0.913491
0.015386,-0.053916,0.913491
0.015386,-0.053916,0.913491
0.015386,-0.053916,0.913491
0.015386,-0.053916,0.913491
0.015386,-0.053916,0.913491
0.015386,-0.053916,0.913491
0.015386,-0.053916,0.913491
0.015386,-0.053916,0.913491
0.015386,-0.053916,0.913491
0.046636,-0.062949,0.895913
0.029302,-0.062949,0.895913
0.029302,-0.062949,0.895913
0.029302,-0.062949,0.895913
0.029302,-0.062949,0.895913
0.029302,-0.062949,0.895913
0.029302,-0.062949,0.895913
0.029302,-0.062949,0.895913
0.029302,-0.062949,0.895913
0.029302,-0.062949,0.895913
0.029302,-0.062949,0.895913
0.029302,-0.062949,0.895913
0.029302,-0.062949,0.895913
0.029302,-0.062949,0.895913
0.029302,-0.062949,0.895913
0.029302,-0.062949,0.895913
0.029302,-0.072959,0.919228
0.025762,-0.072959,0.919228
0.025762,-0.072959,0.919228
0.025762,-0.072959,0.919228
0.025762,-0.072959,0.919228
0.025762,-0.072959,0.919228
0.025762,-0.072959,0.919228
0.025762,-0.072959,0.919228
0.025762,-0.072959,0.919228
0.025762,-0.072959,0.919228
0.025762,-0.072959,0.919228
0.025762,-0.072959,0.919228
0.025762,-0.072959,0.919228
0.025762,-0.072959,0.919228
0.025762,-0.072959,0.919228
0.025762,-0.072959,0.919228
0.025762,-0.072959,1.042764
-0.043940,-0.102134,1.042764
-0.043940,-0.102134,1.042764
-0.043940,-0.102134,1.042764
-0.043940,-0.102134,1.042764
