Xacc,Yacc,Zacc
0.125127,0.014443,-0.069297
0.125127,0.014443,-0.069297
0.125127,0.014443,-0.069297
0.125127,0.014443,-0.069297
0.123662,0.013345,-0.156577
0.123662,0.013345,-0.156577
0.123662,0.013345,-0.156577
0.123662,0.013345,-0.156577
0.123662,0.013345,-0.156577
0.123662,0.013345,-0.156577
0.123662,0.013345,-0.156577
0.123662,0.013345,-0.156577
0.123662,0.013345,-0.156577
0.123662,0.013345,-0.156577
0.123662,0.009438,-0.070029
0.123906,0.009438,-0.070029
0.123906,0.009438,-0.070029
0.123906,0.009438,-0.070029
0.123906,0.009438,-0.070029
0.123906,0.009438,-0.070029
0.123906,0.009438,-0.070029
0.123906,0.009438,-0.070029
0.123906,0.009438,-0.070029
0.123906,0.009438,-0.070029
0.123906,0.009438,-0.070029
0.123906,0.009438,-0.070029
0.123906,0.009438,-0.070029
0.123906,0.009438,-0.070029
0.123906,0.009438,-0.070029
0.123906,0.009438,-0.070029
0.123906,0.009438,-0.070518
0.121343,0.009805,-0.070518
0.121343,0.009805,-0.070518
0.121343,0.009805,-0.070518
0.121343,0.009805,-0.070518
0.121343,0.009805,-0.070518
0.121343,0.009805,-0.070518
0.121343,0.009805,-0.070518
0.121343,0.009805,-0.070518
0.121343,0.009805,-0.070518
0.121343,0.009805,-0.070518
0.121343,0.009805,-0.070518
0.121343,0.009805,-0.070518
0.121343,0.009805,-0.070518
0.121343,0.009805,-0.070518
0.121343,0.009805,-0.070518
0.121343,0.009805,-0.070518
0.120854,0.016885,-0.069297
0.120854,0.016885,-0.069297
0.120854,0.016885,-0.069297
0.120854,0.016885,-0.069297
0.120854,0.016885,-0.069297
0.120854,0.016885,-0.069297
0.120854,0.016885,-0.069297
0.120854,0.016885,-0.069297
0.120854,0.016885,-0.069297
0.120854,0.016885,-0.069297
0.120854,0.016885,-0.069297
0.120854,0.016885,-0.069297
0.120854,0.016885,-0.069297
0.120854,0.016885,-0.069297
0.120854,0.016885,-0.069297
0.120854,0.016885,-0.069297
0.126470,0.021035,-0.069053
